Date,Strip_price_Oil
10/31/2049,62.72
11/30/2049,62.72
12/31/2049,62.72
1/31/2050,62.72
2/28/2050,62.72
3/31/2050,62.72
4/30/2050,62.72
5/31/2050,62.72
6/30/2050,62.72
7/31/2050,62.72
8/31/2050,62.72
9/30/2050,62.72
10/31/2050,62.72
11/30/2050,62.72
12/31/2050,62.72
1/31/2051,62.72
2/28/2051,62.72
3/31/2051,62.72
4/30/2051,62.72
5/31/2051,62.72
6/30/2051,62.72
7/31/2051,62.72
8/31/2051,62.72
9/30/2051,62.72
10/31/2051,62.72
11/30/2051,62.72
12/31/2051,62.72
1/31/2052,62.72
2/29/2052,62.72
3/31/2052,62.72
4/30/2052,62.72
5/31/2052,62.72
6/30/2052,62.72
7/31/2052,62.72
8/31/2052,62.72
9/30/2052,62.72
10/31/2052,62.72
11/30/2052,62.72
12/31/2052,62.72
1/31/2053,62.72
2/28/2053,62.72
3/31/2053,62.72
4/30/2053,62.72
5/31/2053,62.72
6/30/2053,62.72
7/31/2053,62.72
8/31/2053,62.72
9/30/2053,62.72
10/31/2053,62.72
11/30/2053,62.72
12/31/2053,62.72
1/31/2054,62.72
2/28/2054,62.72
3/31/2054,62.72
4/30/2054,62.72
5/31/2054,62.72
6/30/2054,62.72
7/31/2054,62.72
8/31/2054,62.72
9/30/2054,62.72
10/31/2054,62.72
11/30/2054,62.72
12/31/2054,62.72
1/31/2055,62.72
2/28/2055,62.72
3/31/2055,62.72
4/30/2055,62.72
5/31/2055,62.72
6/30/2055,62.72
7/31/2055,62.72
8/31/2055,62.72
9/30/2055,62.72
10/31/2055,62.72
11/30/2055,62.72
12/31/2055,62.72
1/31/2056,62.72
2/29/2056,62.72
3/31/2056,62.72
4/30/2056,62.72
5/31/2056,62.72
6/30/2056,62.72
7/31/2056,62.72
8/31/2056,62.72
9/30/2056,62.72
10/31/2056,62.72
11/30/2056,62.72
12/31/2056,62.72
1/31/2057,62.72
2/28/2057,62.72
3/31/2057,62.72
4/30/2057,62.72
5/31/2057,62.72
6/30/2057,62.72
7/31/2057,62.72
8/31/2057,62.72
9/30/2057,62.72
10/31/2057,62.72
11/30/2057,62.72
12/31/2057,62.72
1/31/2058,62.72
2/28/2058,62.72
3/31/2058,62.72
4/30/2058,62.72
5/31/2058,62.72
6/30/2058,62.72
7/31/2058,62.72
8/31/2058,62.72
9/30/2058,62.72
10/31/2058,62.72
11/30/2058,62.72
12/31/2058,62.72
1/31/2059,62.72
2/28/2059,62.72
3/31/2059,62.72
4/30/2059,62.72
5/31/2059,62.72
6/30/2059,62.72
7/31/2059,62.72
8/31/2059,62.72
9/30/2059,62.72
10/31/2059,62.72
11/30/2059,62.72
12/31/2059,62.72
1/31/2060,62.72
2/29/2060,62.72
3/31/2060,62.72
4/30/2060,62.72
5/31/2060,62.72
6/30/2060,62.72
7/31/2060,62.72
8/31/2060,62.72
9/30/2060,62.72
10/31/2060,62.72
11/30/2060,62.72
12/31/2060,62.72
1/31/2061,62.72
2/28/2061,62.72
3/31/2061,62.72
4/30/2061,62.72
5/31/2061,62.72
6/30/2061,62.72
7/31/2061,62.72
8/31/2061,62.72
9/30/2061,62.72
10/31/2061,62.72
11/30/2061,62.72
12/31/2061,62.72
1/31/2062,62.72
2/28/2062,62.72
3/31/2062,62.72
4/30/2062,62.72
5/31/2062,62.72
6/30/2062,62.72
7/31/2062,62.72
8/31/2062,62.72
9/30/2062,62.72
10/31/2062,62.72
11/30/2062,62.72
12/31/2062,62.72
1/31/2063,62.72
2/28/2063,62.72
3/31/2063,62.72
4/30/2063,62.72
5/31/2063,62.72
6/30/2063,62.72
7/31/2063,62.72
8/31/2063,62.72
9/30/2063,62.72
10/31/2063,62.72
11/30/2063,62.72
12/31/2063,62.72
1/31/2064,62.72
2/29/2064,62.72
3/31/2064,62.72
4/30/2064,62.72
5/31/2064,62.72
6/30/2064,62.72
7/31/2064,62.72
8/31/2064,62.72
9/30/2064,62.72
10/31/2064,62.72
11/30/2064,62.72
12/31/2064,62.72
1/31/2065,62.72
2/28/2065,62.72
3/31/2065,62.72
4/30/2065,62.72
5/31/2065,62.72
6/30/2065,62.72
7/31/2065,62.72
8/31/2065,62.72
9/30/2065,62.72
10/31/2065,62.72
11/30/2065,62.72
12/31/2065,62.72
1/31/2066,62.72
2/28/2066,62.72
3/31/2066,62.72
4/30/2066,62.72
5/31/2066,62.72
6/30/2066,62.72
7/31/2066,62.72
8/31/2066,62.72
9/30/2066,62.72
10/31/2066,62.72
11/30/2066,62.72
12/31/2066,62.72
1/31/2067,62.72
2/28/2067,62.72
3/31/2067,62.72
4/30/2067,62.72
5/31/2067,62.72
6/30/2067,62.72
7/31/2067,62.72
8/31/2067,62.72
9/30/2067,62.72
10/31/2067,62.72
11/30/2067,62.72
12/31/2067,62.72
1/31/2068,62.72
2/29/2068,62.72
3/31/2068,62.72
4/30/2068,62.72
5/31/2068,62.72
6/30/2068,62.72
7/31/2068,62.72
8/31/2068,62.72
9/30/2068,62.72
10/31/2068,62.72
11/30/2068,62.72
12/31/2068,62.72
1/31/2069,62.72
2/28/2069,62.72
3/31/2069,62.72
4/30/2069,62.72
5/31/2069,62.72
6/30/2069,62.72
7/31/2069,62.72
8/31/2069,62.72
9/30/2069,62.72
10/31/2069,62.72
11/30/2069,62.72
12/31/2069,62.72
1/31/2070,62.72
2/28/2070,62.72
3/31/2070,62.72
4/30/2070,62.72
5/31/2070,62.72
6/30/2070,62.72
7/31/2070,62.72
8/31/2070,62.72
9/30/2070,62.72
10/31/2070,62.72
11/30/2070,62.72
12/31/2070,62.72
1/31/2071,62.72
2/28/2071,62.72
3/31/2071,62.72
4/30/2071,62.72
5/31/2071,62.72
6/30/2071,62.72
7/31/2071,62.72
8/31/2071,62.72
9/30/2071,62.72
10/31/2071,62.72
11/30/2071,62.72
12/31/2071,62.72
1/31/2072,62.72
2/29/2072,62.72
3/31/2072,62.72
4/30/2072,62.72
5/31/2072,62.72
6/30/2072,62.72
7/31/2072,62.72
8/31/2072,62.72
9/30/2072,62.72
10/31/2072,62.72
11/30/2072,62.72
12/31/2072,62.72
1/31/2073,62.72
2/28/2073,62.72
3/31/2073,62.72
4/30/2073,62.72
5/31/2073,62.72
6/30/2073,62.72
7/31/2073,62.72
8/31/2073,62.72
9/30/2073,62.72
10/31/2073,62.72
11/30/2073,62.72
12/31/2073,62.72
1/31/2074,62.72
2/28/2074,62.72
3/31/2074,62.72
4/30/2074,62.72
5/31/2074,62.72
6/30/2074,62.72
7/31/2074,62.72
8/31/2074,62.72
9/30/2074,62.72
10/31/2074,62.72
11/30/2074,62.72
12/31/2074,62.72
1/31/2075,
